"","Round","Generation","Best Candidate Fitness","Best Candidate Standard Deviation","Mean Fitness","Elapsed Time(Milli Second)","Best Candidate","Method Name"
"78",7,7,8,0.510979451641648,9.67,7,"[[1, 2], [5, 4], [3, 0], [0, 8], [1, 7], [6, 1], [3, 3], [6, 3], [2, 1], [6, 7]]","determineGuess"
"87",7,8,9,0.324961536185439,9.88,8,"[[3, 0], [3, 5], [2, 4], [1, 6], [5, 6], [5, 1], [8, 8], [8, 0], [4, 3], [2, 1]]","determineGuess"
"96",7,9,10,0,10,9,"[[5, 9], [5, 3], [2, 3], [1, 6], [2, 1], [6, 1], [3, 7], [6, 3], [3, 0], [8, 9]]","determineGuess"
"317",8,1,4,1.19578426147863,7.99,2,"[[2, 4], [2, 2], [0, 1], [7, 4], [7, 6], [7, 7], [0, 7], [5, 7], [6, 6], [0, 1]]","determineGuess"
"417",8,2,6,1.03923048454133,8.6,3,"[[6, 3], [3, 5], [0, 5], [2, 5], [0, 0], [2, 4], [6, 6], [3, 3], [3, 2], [1, 4]]","determineGuess"
"517",8,3,7,0.799749960925288,9.02,5,"[[4, 8], [8, 8], [2, 2], [4, 5], [4, 2], [5, 1], [8, 4], [9, 8], [1, 8], [6, 6]]","determineGuess"
"616",8,4,7,0.700285656000463,9.36,6,"[[4, 6], [7, 3], [0, 4], [1, 5], [7, 0], [8, 5], [8, 8], [6, 8], [6, 4], [0, 0]]","determineGuess"
"79",8,7,8,0.548725796732757,9.67,7,"[[7, 3], [6, 8], [6, 9], [0, 1], [3, 5], [2, 5], [5, 2], [4, 6], [3, 1], [6, 6]]","determineGuess"
"88",8,8,8,0.354400902933387,9.88,8,"[[8, 0], [0, 3], [5, 8], [0, 2], [5, 7], [3, 5], [5, 2], [7, 5], [3, 0], [4, 9]]","determineGuess"
"97",8,9,9,0.14,9.98,9,"[[6, 0], [2, 6], [7, 7], [2, 8], [8, 1], [3, 8], [9, 3], [2, 1], [7, 3], [2, 7]]","determineGuess"
"103",8,10,10,0,10,10,"[[7, 1], [6, 2], [1, 7], [3, 7], [4, 0], [3, 8], [6, 2], [4, 7], [7, 4], [3, 7]]","determineGuess"
"318",9,1,5,1.27007873771668,7.87,3,"[[7, 5], [2, 2], [9, 9], [8, 8], [1, 3], [0, 2], [0, 8], [4, 1], [1, 2], [5, 3]]","determineGuess"
"418",9,2,6,1.06282642044691,8.48,4,"[[0, 4], [2, 5], [1, 8], [5, 2], [0, 5], [1, 7], [0, 6], [5, 8], [5, 5], [4, 5]]","determineGuess"
"518",9,3,6,0.947839648885823,8.96,5,"[[9, 7], [5, 5], [4, 7], [5, 6], [5, 3], [0, 9], [9, 5], [3, 3], [7, 1], [3, 3]]","determineGuess"
"617",9,4,7,0.699356847396234,9.53,6,"[[3, 4], [4, 2], [1, 2], [8, 2], [8, 1], [5, 3], [3, 6], [5, 5], [0, 5], [4, 4]]","determineGuess"
"710",9,7,8,0.392937654087771,9.84,6,"[[0, 0], [6, 0], [9, 5], [6, 4], [5, 3], [0, 4], [6, 5], [6, 4], [1, 5], [8, 7]]","determineGuess"
"89",9,8,8,0.241660919471891,9.96,7,"[[6, 0], [0, 0], [9, 5], [6, 4], [5, 3], [0, 4], [6, 5], [6, 4], [1, 5], [8, 7]]","determineGuess"
"98",9,9,10,0,10,8,"[[8, 6], [8, 5], [2, 7], [1, 4], [2, 3], [1, 4], [7, 9], [7, 5], [1, 6], [3, 0]]","determineGuess"
"319",10,1,6,1.05919780966541,8.09,2,"[[8, 1], [8, 5], [2, 2], [1, 7], [2, 4], [3, 1], [5, 2], [6, 6], [0, 4], [0, 2]]","determineGuess"
"419",10,2,6,0.934398202053064,8.63,4,"[[8, 5], [0, 8], [0, 6], [3, 4], [0, 4], [0, 1], [2, 0], [8, 3], [2, 0], [4, 8]]","determineGuess"
"519",10,3,6,0.856679636737094,9.19,5,"[[4, 8], [0, 8], [0, 6], [3, 4], [0, 4], [0, 1], [2, 8], [8, 1], [2, 4], [8, 5]]","determineGuess"
"618",10,4,7,0.610819122163018,9.63,6,"[[2, 2], [7, 7], [0, 3], [4, 3], [5, 6], [2, 7], [1, 5], [9, 2], [2, 5], [1, 3]]","determineGuess"
"711",10,7,9,0.34698703145795,9.86,7,"[[8, 0], [3, 2], [6, 0], [6, 8], [3, 7], [4, 8], [1, 0], [8, 6], [2, 0], [2, 2]]","determineGuess"
"810",10,8,9,0.14,9.98,8,"[[3, 1], [1, 7], [4, 0], [1, 4], [1, 6], [6, 7], [6, 2], [7, 4], [8, 1], [2, 2]]","determineGuess"
"99",10,9,10,0,10,9,"[[7, 0], [3, 5], [1, 6], [4, 7], [4, 8], [4, 2], [6, 7], [6, 4], [4, 5], [3, 1]]","determineGuess"
"320",1,1,0,0.576541412215983,0.26,3,"[[926769, 781], [269756, 5], [7036584, 6243174], [76590406, 6], [7984, 368], [93348, 27056], [155031311, 53446], [496444, 56362], [475089517, 12108], [512248, 1]]","isQualifiedForRetirement"
"420",1,2,0,0.66475559418481,0.41,5,"[[20152671, 4], [300331, 39920], [153, 82712], [8345, 40933341], [13, 918], [6822734, 7121118], [3, 0], [810, 499715308], [829428, 6557031], [38250575, 34343143]]","isQualifiedForRetirement"
"520",1,3,0,0.790189850605537,0.66,6,"[[424, 1], [14, 9402], [67, 2743180], [8, 585355], [85860, 2941798], [6297730, 963], [782, 7296], [7630642, 15], [530935, 8455776], [36898, 8]]","isQualifiedForRetirement"
"619",1,4,0,0.834505841801003,0.94,6,"[[63871, 35438], [67851994, 24261], [692615871, 438883], [95769922, 923288], [62269959, 4], [820241, 1], [7018430, 764134954], [4291020, 982439830], [39, 54214], [81083, 236940641]]","isQualifiedForRetirement"
"712",1,7,0,0.848528137423857,1.4,7,"[[3, 376257702], [3148010, 198], [32860886, 1055], [4, 4820], [1, 156], [6060, 543747], [21, 8079948], [6, 881163], [26, 83931], [58260, 270095]]","isQualifiedForRetirement"
"811",1,8,0,0.94424573072903,1.78,8,"[[88, 60947], [72571, 4], [13, 3346], [45672, 294], [72, 92], [93348, 27056], [0, 5], [6, 58], [1, 3], [6223546, 55048836]]","isQualifiedForRetirement"
"910",1,9,0,0.9559811713627,2.31,9,"[[12535419, 93], [859954, 96784], [2, 7916], [36, 763168036], [66959, 2450094], [62269959, 4], [85074, 31211], [85391, 7], [64004, 12477456], [241329996, 2888]]","isQualifiedForRetirement"
"104",1,10,0,0.918912400612811,2.66,10,"[[6, 747574474], [57, 84678], [1635, 660204], [50890, 1], [59, 83871421], [85074, 31211], [817662, 347855427], [987681, 41901], [626012, 9336], [87450, 77056]]","isQualifiedForRetirement"
